H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
-16.799999999999955,3.316900000000216e-05,17.44000000000001,-3.5522000000001026e-05
-17.599999999999955,3.273732000000223e-05,17.75999999999999,-3.4983040000001114e-05
-17.91999999999998,3.2275800000002196e-05,18.24000000000001,-3.440720000000112e-05
-18.4,3.178284000000219e-05,18.560000000000038,-3.379472000000112e-05
-18.720000000000027,3.125708000000227e-05,18.720000000000027,-3.3146080000001114e-05
-19.200000000000045,3.069740000000223e-05,19.2,-3.2462000000001154e-05
-19.360000000000035,3.01029200000023e-05,19.680000000000017,-3.174312000000113e-05
-19.84000000000001,2.947316000000231e-05,19.84000000000001,-3.099016000000111e-05
-20.15999999999999,2.880780000000232e-05,20.479999999999972,-3.020400000000121e-05
-20.8,2.8106760000002304e-05,20.959999999999944,-2.9385600000001245e-05
-21.119999999999983,2.7370120000002296e-05,21.119999999999937,-2.8536000000001402e-05
-21.75999999999999,2.659828000000225e-05,21.759999999999945,-2.7656320000001358e-05
-22.08000000000002,2.579188000000239e-05,22.079999999999973,-2.6747600000001475e-05
-22.720000000000027,2.495164000000244e-05,22.55999999999999,-2.581088000000141e-05
-22.880000000000017,2.4078200000002442e-05,22.880000000000017,-2.4847200000001347e-05
-23.520000000000028,2.31723600000025e-05,23.520000000000028,-2.385752000000126e-05
-23.84000000000001,2.2235000000002565e-05,23.680000000000017,-2.2842800000001316e-05
-24.15999999999999,2.126700000000259e-05,24.319999999999983,-2.1804080000001337e-05
-24.319999999999983,2.026940000000258e-05,24.479999999999972,-2.0742320000001305e-05
-24.799999999999955,1.92434000000026e-05,24.959999999999944,-1.9658400000001353e-05
-24.959999999999944,1.8190200000002718e-05,25.279999999999973,-1.855336000000131e-05
-25.279999999999973,1.7110920000002786e-05,25.439999999999962,-1.7428320000001384e-05
-25.75999999999999,1.600668000000284e-05,25.439999999999962,-1.628432000000124e-05
-26.24000000000001,1.487860000000292e-05,25.91999999999998,-1.5122480000001257e-05
-26.560000000000038,1.3727720000003031e-05,26.08000000000002,-1.3943920000001296e-05
-26.880000000000063,1.2555080000003008e-05,26.4,-1.2749600000001339e-05
-27.040000000000056,1.1361720000002858e-05,27.04000000000001,-1.1540400000001164e-05
-27.360000000000035,1.0148600000002734e-05,27.360000000000035,-1.0317200000001247e-05
-27.680000000000017,8.91668000000262e-06,27.520000000000028,-9.080880000001193e-06
-27.84000000000001,7.666920000002491e-06,28.0,-7.832400000001155e-06
-28.0,6.4002000000024786e-06,28.15999999999999,-6.572720000001114e-06
-28.479999999999972,5.117320000002506e-06,28.319999999999983,-5.3027200000011975e-06
-28.639999999999965,3.8190000000024735e-06,28.799999999999955,-4.02328000000101e-06
-28.95999999999999,2.505960000002451e-06,28.959999999999944,-2.735200000000999e-06
